case_id,missed_count,missed_by,category,cwe,type,primitive,locations
case_000072,3,claude-opus-4-7;claude-opus-4-8;gpt-5.5-medium,File_Upload_Type_Confusion_XSS,CWE-434,Other,File Type Confusion / Magic Number Detection Bypass,src/routes/documents.py:upload_document;src/services/document_service.py:detect_file_type
case_000073,1,gpt-5.5-medium,Information_Disclosure_Privacy_Leak,CWE-200,Other,"IP Leakage, CSP Bypass, Popunder Attack",src/app/routes/properties.py:
case_000074,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Supply_Chain_Cloud_Resource_Hijack,CWE-434,Other,Bucket name squatting / Resource ownership validation bypass,src/routes/auth.py:register
case_000075,1,claude-sonnet-4-6,Side_Channel,CWE-208,Side Channel,"Timing Side-Channel Attack, Physical Memory Extraction, Debug Interface Access",src/app.py:unlock;src/app.py:app.secret_key
case_000078,2,claude-opus-4-7;claude-opus-4-8,Path_Traversal_Argument_Injection_RCE,CWE-429,Other,"Best-Fit Character Encoding Bypass leading to Path Traversal, Argument Injection, and RCE",src/app.py:sync_file;src/utils/validators.py:is_allowed_source
case_000081,1,claude-opus-4-8,Open_Redirect,CWE-601,Open Redirect,Post-login open redirect via protocol-relative next parameter,src/routes/auth.py:login
case_000082,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,Side_Channel_Timing,CWE-208,SIDE_CHANNEL,Username enumeration through measurable authentication timing differential,src/services/auth_service.py:authenticate_user
case_000083,1,gpt-5.5-medium,Path_Traversal,CWE-22,Path Traversal,Client-Side Path Traversal (CSPT) escalated to XSS via file upload and CORS bypass,src/app/app.js:
case_000091,1,claude-sonnet-4-6,RCE,CWE-95,RCE,"Multiple Ruby-specific RCE vectors: Kernel.open pipe injection, insecure send/public_send reflection, binary deserialization gadget chains",src/app/routes/documents.py:process_document
case_000093,1,gpt-5.5-medium,SSRF,CWE-918,SSRF,Full-read SSRF via Host header spoofing and pathname manipulation,src/server.js:fetchPrerenderedContent
case_000097,3,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6,SSRF,CWE-918,SSRF,Server-side request forgery through JSON response control in Google Drive API integration,src/app/main.py:internal_ping
case_000102,1,gpt-5.5-medium,XSS,CWE-644,XSS,Parser Differential - Content-Type Header Confusion between Browser and Server-Side Parser,src/app/routes/preview.py:parseContentTypeHeader;src/app/routes/preview.py:renderPreview
case_000107,3,claude-opus-4-7;claude-opus-4-8;gpt-5.5-medium,XSS,CWE-79,XSS,DOM-based XSS via DOM Clobbering gadget chain,src/routes/notes.py:preview_note;src/services/renderer.py:
case_000108,1,gpt-5.5-medium,XSS,CWE-79,XSS,Stored profile bio XSS through Markup-wrapped user content rendered into profile.html,src/app/routes/profile.py:view_profile;src/app/templates/profile.html:rendered_bio
case_000110,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,XSS,CWE-79,XSS,Stored Self-XSS elevated to Stored XSS via credentialless iframe + CSRF/Clickjacking,src/app/routes/auth.py:profile;src/app/templates/profile.html:
case_000113,1,gpt-5.5-medium,XSS,CWE-79,XSS,Mutation XSS (mXSS) via comment injection in style tags with template sanitization,src/routes/cards.js:buildPurifier;src/routes/cards.js:
case_000114,1,gpt-5.5-medium,XSS,CWE-94,XSS,DOM XSS via XML Processing Instructions and Node Type Confusion,src/src/services/docProcessor.js:sanitizeDocument;src/src/routes/documents.js:;src/views/document.ejs:
case_000115,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,XSS,CWE-79,XSS,DOM XSS via unsanitized dataVendorExtensions in renderTextParam Handlebars helper,src/src/routes/docs.js:GET /
case_000119,1,gpt-5.5-medium,XSS,CWE-79,XSS,DOM XSS via postMessage origin bypass,src/app/routes/widget.py:
