case_id,source_category,actual_weakness_pattern,type,cwe,missed_count,missed_by,expected_primitive,missed_reasoning_step,verified
case_000115,XSS,Template helper/vendor-extension DOM XSS,XSS,CWE-79,4,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6;gpt-5.5-medium,DOM XSS via unsanitized dataVendorExtensions in renderTextParam Handlebars helper,They missed that OpenAPI vendor-extension fields flow into a Handlebars/helper attribute builder without escaping.,VULNERABLE_CONFIRMED
case_000014,AI,Code generation command injection,Prompt Injection,CWE-94,3,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6,Command injection through unescaped image URI parameters in generated code,They missed that generated shell code embeds attacker-controlled image URI into a heredoc/script context and breaks out into command execution.,VULNERABLE_CONFIRMED
case_000023,AI,Config-file prompt injection to RCE,Prompt Injection,CWE-94,3,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6,Prompt Injection leading to RCE via configuration file manipulation,They missed that attacker-controlled configuration changes the AI/tool execution behavior and reaches a root command execution path.,VULNERABLE_CONFIRMED
case_000053,Business_Logic,Account lifecycle business logic DoS,Business Logic,CWE-307,3,claude-opus-4-7;claude-opus-4-8;gpt-5.5-medium,"Account Lockout / Denial of Access via weak rate limiting, email verification flaws, logout CSRF, and client-side DoS","They missed that weak rate-limit/verification/logout behavior can lock out or disrupt real users, even without data exfiltration.",VULNERABLE_CONFIRMED
case_000069,Information_Disclosure_XSSI,XSSI/hotlinkable JSON disclosure,Other,CWE-829,3,claude-opus-4-7;claude-sonnet-4-6;gpt-5.5-medium,Cross-Origin Resource Embedding / Hotlinking / XSSI,They missed browser cross-origin embedding semantics and anti-XSSI requirements around JSON/profile/settings endpoints.,VULNERABLE_CONFIRMED
case_000072,File_Upload_Type_Confusion_XSS,File type confusion XSS,Other,CWE-434,3,claude-opus-4-7;claude-opus-4-8;gpt-5.5-medium,File Type Confusion / Magic Number Detection Bypass,They trusted magic-number/content checks and missed browser MIME sniffing/interpretation mismatch after upload.,VULNERABLE_CONFIRMED
case_000097,SSRF,SSRF via trusted integration response,SSRF,CWE-918,3,claude-opus-4-7;claude-opus-4-8;claude-sonnet-4-6,Server-side request forgery through JSON response control in Google Drive API integration,"They missed that a trusted API response can control the server-side fetch target, so the source is indirect, not a raw user URL.",VULNERABLE_CONFIRMED
case_000107,XSS,DOM clobbering gadget chain,XSS,CWE-79,3,claude-opus-4-7;claude-opus-4-8;gpt-5.5-medium,DOM-based XSS via DOM Clobbering gadget chain,They missed browser DOM name/id clobbering and how it changes client-side object references before rendering.,VULNERABLE_CONFIRMED
case_000037,Auth_Bypass,Cross-tenant token minting,Auth Bypass,CWE-862,2,claude-sonnet-4-6;gpt-5.5-medium,Cross-tenant impersonation via user-controlled actor token minting and exchange,"They missed that user-controlled actor identity is trusted during token mint/exchange, enabling tenant impersonation.",VULNERABLE_CONFIRMED
case_000078,Path_Traversal_Argument_Injection_RCE,Best-fit encoding path traversal/argument injection,Other,CWE-429,2,claude-opus-4-7;claude-opus-4-8,"Best-Fit Character Encoding Bypass leading to Path Traversal, Argument Injection, and RCE",They missed Windows/platform encoding conversion where visually different Unicode becomes dangerous path/argument characters.,VULNERABLE_CONFIRMED
